date,mucus cough,isPartial
2019-09-15,24,False
2019-09-22,52,False
2019-09-29,62,False
2019-10-06,42,False
2019-10-13,40,False
2019-10-20,54,False
2019-10-27,45,False
2019-11-03,54,False
2019-11-10,51,False
2019-11-17,56,False
2019-11-24,56,False
2019-12-01,66,False
2019-12-08,66,False
2019-12-15,72,False
2019-12-22,91,False
2019-12-29,100,False
2020-01-05,48,False
2020-01-12,49,False
2020-01-19,58,False
2020-01-26,46,False
2020-02-02,55,False
2020-02-09,55,False
2020-02-16,54,False
2020-02-23,40,False
2020-03-01,53,False
2020-03-08,81,False
2020-03-15,95,False
2020-03-22,100,False
2020-03-29,84,False
2020-04-05,70,False
2020-04-12,48,False
2020-04-19,39,False
2020-04-26,26,False
2020-05-03,21,False
2020-05-10,23,False
2020-05-17,21,False
2020-05-24,21,False
2020-05-31,26,False
2020-06-07,10,False
2020-06-14,15,False
2020-06-21,12,False
2020-06-28,14,False
2020-07-05,16,False
2020-07-12,20,False
2020-07-19,20,False
2020-07-26,26,False
2020-08-02,19,False
2020-08-09,18,False
2020-08-16,24,False
2020-08-23,26,False
2020-08-30,25,False
2020-09-06,13,False
2020-09-13,17,False
2020-09-20,20,False
2020-09-27,16,False
2020-10-04,24,False
2020-10-11,21,False
2020-10-18,27,False
2020-10-25,21,False
2020-11-01,19,False
2020-11-08,30,False
2020-11-15,0,False
2020-11-22,31,False
2020-11-29,14,False
2020-12-06,30,False
2020-12-13,28,False
2020-12-20,33,False
2020-12-27,32,False
2021-01-03,22,False
2021-01-10,22,False
2021-01-17,18,False
2021-01-24,29,False
2021-01-31,15,False
2021-02-07,21,False
2021-02-14,26,False
2021-02-21,23,False
2021-02-28,22,False
2021-03-07,28,False
2021-03-14,21,False
2021-03-21,26,False
2021-03-28,16,False
2021-04-04,24,False
2021-04-11,26,False
2021-04-18,25,False
2021-04-25,18,False
2021-05-02,25,False
2021-05-09,30,False
2021-05-16,30,False
2021-05-23,26,False
2021-05-30,29,False
2021-06-06,34,False
2021-06-13,27,False
2021-06-20,44,False
2021-06-27,36,False
2021-07-04,37,False
2021-07-11,34,False
2021-07-18,43,False
2021-07-25,37,False
2021-08-01,45,False
2021-08-08,28,False
2021-08-15,41,False
2021-08-22,34,False
2021-08-29,42,False
2021-09-05,36,False
2021-09-12,47,False
2021-09-19,45,False
2021-09-26,57,False
2021-10-03,56,False
2021-10-10,64,False
2021-10-17,51,False
2021-10-24,41,False
2021-10-31,43,False
2021-11-07,58,False
2021-11-14,33,False
2021-11-21,38,False
2021-11-28,50,False
2021-12-05,59,False
2021-12-12,77,False
2021-12-19,98,False
2021-12-26,100,False
2022-01-02,80,False
2022-01-09,74,False
2022-01-16,51,False
2022-01-23,34,False
2022-01-30,27,False
2022-02-06,40,False
2022-02-13,34,False
2022-02-20,25,False
2022-02-27,40,False
2022-03-06,40,False
2022-03-13,58,False
2022-03-20,59,False
2022-03-27,53,False
2022-04-03,60,False
2022-04-10,61,False
2022-04-17,69,False
2022-04-24,69,False
2022-05-01,61,False
2022-05-08,69,False
2022-05-15,55,False
2022-05-22,52,False
2022-05-29,69,False
2022-06-05,64,False
2022-06-12,58,False
2022-06-19,52,False
2022-06-26,43,False
2022-07-03,53,False
2022-07-10,50,False
2022-07-17,44,False
2022-07-24,56,False
2022-07-31,37,False
2022-08-07,38,False
2022-08-14,44,False
2022-08-21,43,False
2022-08-28,39,False
2022-09-04,40,False
2022-09-11,39,False
2022-09-18,63,False
2022-09-25,61,False
2022-10-02,64,False
2022-10-09,69,False
2022-10-16,72,False
2022-10-23,82,False
2022-10-30,90,False
2022-11-06,89,False
2022-11-13,73,False
2022-11-20,82,False
2022-11-27,84,False
2022-12-04,90,False
2022-12-11,82,False
2022-12-18,98,False
2022-12-25,96,False
2023-01-01,72,False
2023-01-08,61,False
2023-01-15,60,False
2023-01-22,64,False
2023-01-29,49,False
2023-02-05,63,False
2023-02-12,61,False
2023-02-19,64,False
2023-02-26,69,False
2023-03-05,59,False
2023-03-12,42,False
2023-03-19,58,False
2023-03-26,59,False
2023-04-02,67,False
2023-04-09,61,False
2023-04-16,45,False
2023-04-23,50,False
2023-04-30,57,False
2023-05-07,59,False
2023-05-14,57,False
2023-05-21,55,False
2023-05-28,49,False
2023-06-04,51,False
2023-06-11,49,False
2023-06-18,29,False
2023-06-25,32,False
2023-07-02,42,False
2023-07-09,25,False
2023-07-16,34,False
2023-07-23,29,False
2023-07-30,31,False
2023-08-06,34,False
2023-08-13,43,False
2023-08-20,31,False
2023-08-27,43,False
2023-09-03,40,False
2023-09-10,45,False
2023-09-17,56,False
2023-09-24,60,False
2023-10-01,76,False
2023-10-08,67,False
2023-10-15,66,False
2023-10-22,72,False
2023-10-29,76,False
2023-11-05,77,False
2023-11-12,69,False
2023-11-19,84,False
2023-11-26,83,False
2023-12-03,79,False
2023-12-10,83,False
2023-12-17,91,False
2023-12-24,100,False
2023-12-31,93,False
2024-01-07,69,False
2024-01-14,57,False
2024-01-21,44,False
2024-01-28,50,False
2024-02-04,47,False
2024-02-11,37,False
2024-02-18,72,False
2024-02-25,46,False
2024-03-03,54,False
2024-03-10,45,False
2024-03-17,50,False
2024-03-24,55,False
2024-03-31,41,False
2024-04-07,52,False
2024-04-14,57,False
2024-04-21,48,False
2024-04-28,41,False
2024-05-05,44,False
2024-05-12,49,False
2024-05-19,46,False
2024-05-26,62,False
2024-06-02,39,False
2024-06-09,34,False
2024-06-16,30,False
2024-06-23,24,False
2024-06-30,28,False
2024-07-07,43,False
2024-07-14,26,False
2024-07-21,30,False
2024-07-28,35,False
2024-08-04,29,False
2024-08-11,20,False
2024-08-18,36,False
2024-08-25,35,False
2024-09-01,29,False
2024-09-08,32,False
2024-09-15,46,False
2024-09-22,54,False
2024-09-29,59,False
2024-10-06,58,False
2024-10-13,58,False
2024-10-20,50,False
2024-10-27,51,False
2024-11-03,60,False
2024-11-10,61,False
2024-11-17,51,False
2024-11-24,62,False
2024-12-01,56,False
2024-12-08,58,False
2024-12-15,77,False
2024-12-22,88,False
2024-12-29,100,False
2025-01-05,78,False
2025-01-12,55,False
2025-01-19,67,False
2025-01-26,69,False
2025-02-02,55,False
2025-02-09,52,False
2025-02-16,58,False
2025-02-23,56,False
2025-03-02,40,False
2025-03-09,44,False
2025-03-16,47,False
2025-03-23,36,False
2025-03-30,38,False
2025-04-06,41,False
2025-04-13,48,False
2025-04-20,39,False
2025-04-27,47,False
2025-05-04,37,False
2025-05-11,36,False
2025-05-18,37,False
2025-05-25,42,False
2025-06-01,45,False
2025-06-08,33,False
2025-06-15,45,False
2025-06-22,27,False
2025-06-29,29,False
2025-07-06,27,False
2025-07-13,35,False
2025-07-20,29,False
2025-07-27,32,False
2025-08-03,18,False
2025-08-10,21,False
2025-08-17,30,False
2025-08-24,24,False
2025-08-31,29,False
2025-09-07,41,False
2025-09-14,30,False
2025-09-21,37,False
2025-09-28,28,False
2025-10-05,38,False
2025-10-12,41,False
2025-10-19,34,False
2025-10-26,51,False
2025-11-02,49,False
2025-11-09,60,False
2025-11-16,48,False
2025-11-23,65,False
2025-11-30,65,False
2025-12-07,81,False
2025-12-14,71,False
2025-12-21,89,False
2025-12-28,100,False
