date,coughing up phlegm,isPartial
2022-02-20,0,False
2022-02-27,40,False
2022-03-06,33,False
2022-03-13,0,False
2022-03-20,35,False
2022-03-27,33,False
2022-04-03,28,False
2022-04-10,0,False
2022-04-17,57,False
2022-04-24,58,False
2022-05-01,41,False
2022-05-08,0,False
2022-05-15,44,False
2022-05-22,44,False
2022-05-29,51,False
2022-06-05,47,False
2022-06-12,64,False
2022-06-19,59,False
2022-06-26,34,False
2022-07-03,40,False
2022-07-10,37,False
2022-07-17,0,False
2022-07-24,43,False
2022-07-31,0,False
2022-08-07,0,False
2022-08-14,0,False
2022-08-21,48,False
2022-08-28,0,False
2022-09-04,0,False
2022-09-11,0,False
2022-09-18,31,False
2022-09-25,0,False
2022-10-02,50,False
2022-10-09,35,False
2022-10-16,64,False
2022-10-23,63,False
2022-10-30,50,False
2022-11-06,60,False
2022-11-13,56,False
2022-11-20,80,False
2022-11-27,43,False
2022-12-04,70,False
2022-12-11,67,False
2022-12-18,57,False
2022-12-25,100,False
2023-01-01,67,False
2023-01-08,56,False
2023-01-15,46,False
2023-01-22,48,False
2023-01-29,37,False
2023-02-05,46,False
2023-02-12,46,False
2023-02-19,40,False
2023-02-26,0,False
2023-03-05,42,False
2023-03-12,49,False
2023-03-19,66,False
2023-03-26,32,False
2023-04-02,0,False
2023-04-09,44,False
2023-04-16,0,False
2023-04-23,44,False
2023-04-30,0,False
2023-05-07,33,False
2023-05-14,0,False
2023-05-21,0,False
2023-05-28,44,False
2023-06-04,35,False
2023-06-11,45,False
2023-06-18,60,False
2023-06-25,29,False
2023-07-02,42,False
2023-07-09,32,False
2023-07-16,34,False
2023-07-23,35,False
2023-07-30,0,False
2023-08-06,0,False
2023-08-13,0,False
2023-08-20,0,False
2023-08-27,0,False
2023-09-03,35,False
2023-09-10,50,False
2023-09-17,0,False
2023-09-24,57,False
2023-10-01,44,False
2023-10-08,56,False
2023-10-15,35,False
2023-10-22,54,False
2023-10-29,59,False
2023-11-05,52,False
2023-11-12,45,False
2023-11-19,61,False
2023-11-26,62,False
2023-12-03,58,False
2023-12-10,66,False
2023-12-17,93,False
2023-12-24,100,False
2023-12-31,93,False
2024-01-07,34,False
2024-01-14,40,False
2024-01-21,33,False
2024-01-28,41,False
2024-02-04,54,False
2024-02-11,60,False
2024-02-18,100,False
2024-02-25,41,False
2024-03-03,48,False
2024-03-10,59,False
2024-03-17,48,False
2024-03-24,0,False
2024-03-31,0,False
2024-04-07,36,False
2024-04-14,51,False
2024-04-21,43,False
2024-04-28,0,False
2024-05-05,52,False
2024-05-12,45,False
2024-05-19,0,False
2024-05-26,0,False
2024-06-02,50,False
2024-06-09,0,False
2024-06-16,55,False
2024-06-23,41,False
2024-06-30,38,False
2024-07-07,43,False
2024-07-14,0,False
2024-07-21,67,False
2024-07-28,0,False
2024-08-04,40,False
2024-08-11,0,False
2024-08-18,0,False
2024-08-25,0,False
2024-09-01,45,False
2024-09-08,41,False
2024-09-15,0,False
2024-09-22,0,False
2024-09-29,57,False
2024-10-06,76,False
2024-10-13,0,False
2024-10-20,35,False
2024-10-27,84,False
2024-11-03,34,False
2024-11-10,61,False
2024-11-17,34,False
2024-11-24,56,False
2024-12-01,42,False
2024-12-08,53,False
2024-12-15,81,False
2024-12-22,73,False
2024-12-29,91,False
2025-01-05,84,False
2025-01-12,94,False
2025-01-19,55,False
2025-01-26,77,False
2025-02-02,37,False
2025-02-09,60,False
2025-02-16,60,False
2025-02-23,50,False
2025-03-02,0,False
2025-03-09,0,False
2025-03-16,52,False
2025-03-23,52,False
2025-03-30,0,False
2025-04-06,35,False
2025-04-13,0,False
2025-04-20,40,False
2025-04-27,36,False
2025-05-04,0,False
2025-05-11,0,False
2025-05-18,44,False
2025-05-25,51,False
2025-06-01,0,False
2025-06-08,62,False
2025-06-15,0,False
2025-06-22,0,False
2025-06-29,0,False
2025-07-06,39,False
2025-07-13,0,False
2025-07-20,0,False
2025-07-27,0,False
2025-08-03,0,False
2025-08-10,0,False
2025-08-17,40,False
2025-08-24,0,False
2025-08-31,0,False
2025-09-07,39,False
2025-09-14,0,False
2025-09-21,0,False
2025-09-28,49,False
2025-10-05,50,False
2025-10-12,0,False
2025-10-19,46,False
2025-10-26,0,False
2025-11-02,0,False
2025-11-09,68,False
2025-11-16,59,False
2025-11-23,46,False
2025-11-30,48,False
2025-12-07,66,False
2025-12-14,100,False
2025-12-21,72,False
2025-12-28,89,False
